324 7861070 Nov  5 13:58:46 2015
325 7857360.5 Nov  5 13:58:47 2015
326 7856320.5 Nov  5 13:58:48 2015
327 7856150.5 Nov  5 13:58:49 2015
328 7863219.5 Nov  5 13:58:50 2015
329 7860750 Nov  5 13:58:51 2015
330 7854511 Nov  5 13:58:52 2015
331 7856690.5 Nov  5 13:58:52 2015
332 7859740.5 Nov  5 13:58:54 2015
333 7858830.5 Nov  5 13:58:54 2015
334 7860790.5 Nov  5 13:58:55 2015
335 7856680.5 Nov  5 13:58:57 2015
336 7865790.5 Nov  5 13:58:58 2015
337 7858640 Nov  5 13:58:59 2015
338 7850890.5 Nov  5 13:58:59 2015
339 7852110.5 Nov  5 13:59:00 2015
340 7854800.5 Nov  5 13:59:01 2015
341 7850550.5 Nov  5 13:59:02 2015
342 7846560.5 Nov  5 13:59:03 2015
343 7964700 Nov  5 13:59:04 2015
344 7851650 Nov  5 13:59:05 2015
345 7848000 Nov  5 13:59:06 2015
346 7848490 Nov  5 13:59:10 2015
347 7847620 Nov  5 13:59:12 2015
348 7857300.5 Nov  5 13:59:13 2015
349 7853880.5 Nov  5 13:59:14 2015
350 7864160.5 Nov  5 13:59:14 2015
351 7857750.5 Nov  5 13:59:15 2015
352 7884850.5 Nov  5 13:59:16 2015
353 7860000 Nov  5 13:59:16 2015
354 7851810.5 Nov  5 13:59:17 2015
355 7869950 Nov  5 13:59:17 2015
356 7866570.5 Nov  5 13:59:18 2015
357 7849450 Nov  5 13:59:18 2015
358 7858540.5 Nov  5 13:59:19 2015
359 7859980 Nov  5 13:59:20 2015
360 7860870.5 Nov  5 13:59:21 2015
361 7861840 Nov  5 13:59:22 2015
362 7860300 Nov  5 13:59:23 2015
363 7858020.5 Nov  5 13:59:24 2015
364 7861530.5 Nov  5 13:59:25 2015
365 7862690 Nov  5 13:59:26 2015
366 7854360.5 Nov  5 13:59:27 2015
367 7859850.5 Nov  5 13:59:28 2015
368 7865600 Nov  5 13:59:29 2015
369 7852090.5 Nov  5 13:59:30 2015
370 7856700.5 Nov  5 13:59:30 2015
371 7858080.5 Nov  5 13:59:32 2015
372 7865020.5 Nov  5 13:59:32 2015
373 7863170 Nov  5 13:59:33 2015
374 7860500.5 Nov  5 13:59:34 2015
375 7858160.5 Nov  5 13:59:35 2015
376 7855850.5 Nov  5 13:59:36 2015
377 7859740.5 Nov  5 13:59:37 2015
378 7875030.5 Nov  5 13:59:38 2015
379 7849650 Nov  5 13:59:39 2015
380 7865770.5 Nov  5 13:59:40 2015
381 7859930 Nov  5 13:59:41 2015
382 7859070.5 Nov  5 13:59:42 2015
383 7864630 Nov  5 13:59:43 2015
384 7870010.5 Nov  5 13:59:44 2015
385 7866660 Nov  5 13:59:45 2015
386 7862070 Nov  5 13:59:46 2015
387 7859440.5 Nov  5 13:59:47 2015
388 7865410.5 Nov  5 13:59:48 2015
389 7863610 Nov  5 13:59:49 2015
390 7861930 Nov  5 13:59:50 2015
391 7862880 Nov  5 13:59:51 2015
392 7862530 Nov  5 13:59:52 2015
393 7858500.5 Nov  5 13:59:53 2015
394 7858800.5 Nov  5 13:59:54 2015
395 7860100.5 Nov  5 13:59:55 2015
396 7869340 Nov  5 13:59:56 2015
397 7862230 Nov  5 13:59:57 2015
398 7858230 Nov  5 13:59:58 2015
399 7852860.5 Nov  5 13:59:59 2015
400 7855760.5 Nov  5 14:00:00 2015
401 7853110.5 Nov  5 14:00:01 2015
402 7856280.5 Nov  5 14:00:02 2015
403 7853540.5 Nov  5 14:00:03 2015
404 7850640.5 Nov  5 14:00:04 2015
405 7856620.5 Nov  5 14:00:05 2015
406 7855350.5 Nov  5 14:00:05 2015
407 7858780.5 Nov  5 14:00:07 2015
408 7866040 Nov  5 14:00:09 2015
409 7866470.5 Nov  5 14:00:09 2015
410 7856410.5 Nov  5 14:00:10 2015
411 7860060 Nov  5 14:00:10 2015
412 7864440.5 Nov  5 14:00:11 2015
413 7865930 Nov  5 14:00:12 2015
414 7861810 Nov  5 14:00:13 2015
415 7858030.5 Nov  5 14:00:14 2015
416 7861160.5 Nov  5 14:00:15 2015
417 7858950 Nov  5 14:00:16 2015
418 7856980.5 Nov  5 14:00:17 2015
419 7852430.5 Nov  5 14:00:18 2015
420 7853650 Nov  5 14:00:19 2015
421 7856430.5 Nov  5 14:00:20 2015
422 7843209.5 Nov  5 14:00:21 2015
423 7848170.5 Nov  5 14:00:22 2015
424 7850420.5 Nov  5 14:00:23 2015
425 7848750 Nov  5 14:00:24 2015
426 7843690 Nov  5 14:00:25 2015
427 7849740 Nov  5 14:00:26 2015
428 7856300.5 Nov  5 14:00:27 2015
429 7855880.5 Nov  5 14:00:28 2015
430 7840200 Nov  5 14:00:29 2015
431 7850130.5 Nov  5 14:00:30 2015
432 7854210.5 Nov  5 14:00:31 2015
433 7880410 Nov  5 14:00:32 2015
434 7856330.5 Nov  5 14:00:33 2015
435 7865770.5 Nov  5 14:00:34 2015
436 7879460.5 Nov  5 14:00:35 2015
437 7877090.5 Nov  5 14:00:36 2015
438 7880010 Nov  5 14:00:37 2015
439 7874571 Nov  5 14:00:38 2015
440 7874881 Nov  5 14:00:39 2015
441 7881370 Nov  5 14:00:40 2015
442 7883610 Nov  5 14:00:41 2015
443 7872360 Nov  5 14:00:42 2015
444 7877010.5 Nov  5 14:00:43 2015
445 7883929.5 Nov  5 14:00:43 2015
446 7889350 Nov  5 14:00:44 2015
447 7883180 Nov  5 14:00:45 2015
448 7877870.5 Nov  5 14:00:46 2015
449 7881730 Nov  5 14:00:47 2015
450 7896050.5 Nov  5 14:00:48 2015
451 7885100.5 Nov  5 14:00:49 2015
452 7888490 Nov  5 14:00:50 2015
453 7893510.5 Nov  5 14:00:51 2015
454 7933070 Nov  5 14:00:52 2015
455 7913860.5 Nov  5 14:00:53 2015
456 7898780.5 Nov  5 14:00:54 2015
457 7880060 Nov  5 14:00:55 2015
458 7892220 Nov  5 14:00:56 2015
459 7900460 Nov  5 14:00:57 2015
460 7924070.5 Nov  5 14:00:58 2015
461 8024580 Nov  5 14:00:59 2015
462 8190221 Nov  5 14:01:00 2015
463 8268221 Nov  5 14:01:01 2015
464 8396540 Nov  5 14:01:02 2015
465 10199400 Nov  5 14:01:03 2015
466 12214700 Nov  5 14:01:04 2015
467 11841201 Nov  5 14:01:05 2015
468 12430100 Nov  5 14:01:06 2015
469 16010101 Nov  5 14:01:07 2015
470 18967800 Nov  5 14:01:08 2015
